run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20220529-23:26:46-1951,runattr,,,configname,General,,,
General-0-20220529-23:26:46-1951,runattr,,,datetime,20220529-23:26:46,,,
General-0-20220529-23:26:46-1951,runattr,,,experiment,General,,,
General-0-20220529-23:26:46-1951,runattr,,,inifile,omnetpp.ini,,,
General-0-20220529-23:26:46-1951,runattr,,,iterationvars,,,,
General-0-20220529-23:26:46-1951,runattr,,,iterationvarsf,,,,
General-0-20220529-23:26:46-1951,runattr,,,measurement,,,,
General-0-20220529-23:26:46-1951,runattr,,,network,Network,,,
General-0-20220529-23:26:46-1951,runattr,,,processid,1951,,,
General-0-20220529-23:26:46-1951,runattr,,,repetition,0,,,
General-0-20220529-23:26:46-1951,runattr,,,replication,#0,,,
General-0-20220529-23:26:46-1951,runattr,,,resultdir,results,,,
General-0-20220529-23:26:46-1951,runattr,,,runnumber,0,,,
General-0-20220529-23:26:46-1951,runattr,,,seedset,0,,,
General-0-20220529-23:26:46-1951,param,,,Network.sender.senderAppLayer.generationInterval,exponential(0.18),,,
General-0-20220529-23:26:46-1951,param,,,Network.**.maxSeqNum,2147483647,,,
General-0-20220529-23:26:46-1951,param,,,Network.**.packetByteSize,12500,,,
General-0-20220529-23:26:46-1951,param,,,Network.dataQueue.bufferSize,100,,,
General-0-20220529-23:26:46-1951,param,,,Network.ackQueue.bufferSize,100,,,
General-0-20220529-23:26:46-1951,param,,,Network.sender.transpSend.bufferSize,2000000,,,
General-0-20220529-23:26:46-1951,param,,,Network.sender.transpSend.rtt,1s,,,
General-0-20220529-23:26:46-1951,param,,,Network.sender.transpSend.timeout,3s,,,
General-0-20220529-23:26:46-1951,param,,,Network.rec.transpRec.bufferSize,200,,,
General-0-20220529-23:26:46-1951,vector,Network.sender.transpSend,packetDropSend,,,,"0","0"
General-0-20220529-23:26:46-1951,vector,Network.dataQueue,packetDropQueue,,,,"0","0"
General-0-20220529-23:26:46-1951,vector,Network.ackQueue,packetDropQueue,,,,"0","0"
General-0-20220529-23:26:46-1951,vector,Network.rec.transpRec,packetDropRec,,,,"0","0"
